,date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL
61,05/03/2012,1.066692267,,11.2454737,0.036907095,0.479138318,,4.437293645,0.024271635,0.501947557,,9.952061109,,6.61241055,0.012682758,7.94163157,,2.899552922,,2.050138179,,12.89653413,,5.800169655,,6.084188577,0.081687311,5.612136393,0.021811686,8.191675853,0.034566017,5.048890086,,,
62,06/03/2012,1.066692267,,12.24507136,0.036907095,0.958276635,,4.765982063,0.048543269,1.003895113,,6.759890565,,5.925406856,0.012682758,8.966358224,,2.680718739,,0.410027636,,10.97577372,0.081049394,2.175063621,,6.637296629,0.040843656,4.873697394,,7.72358009,,,,,
63,07/03/2012,1.333365334,,11.74527253,0.07381419,0.958276635,,4.437293645,0.024271635,0.501947557,,9.388736896,0.027732038,5.410154086,0.012682758,11.2719932,,2.407176011,,1.230082908,,4.390309489,0.040524697,5.800169655,,6.637296629,0.081687311,4.578321794,0.043623372,6.553340682,0.10369805,3.606350061,,,
64,08/03/2012,0.933355734,,11.2454737,0.036907095,0.479138318,,3.6155726,0.024271635,0.501947557,,7.886538992,,5.496029548,0.012682758,9.478721551,,2.79013583,0.016159569,2.050138179,0.060556079,11.25016807,0.040524697,2.175063621,,4.977972472,,6.202887592,0.043623372,7.489532208,0.034566017,2.885080049,,,
65,09/03/2012,0.266673067,,2.498994155,0.07381419,,,3.122539973,0.024271635,0.501947557,,8.07431373,,5.152527701,0.050731032,5.892178261,,2.680718739,0.016159569,0.410027636,,9.603802008,0.12157409,5.075148448,0.107076787,4.977972472,0.081687311,2.658380397,0.021811686,4.915005512,0.034566017,,,,
66,10/03/2012,0.4000096,,8.246680711,0.110721285,0.479138318,,1.643442091,0.024271635,0.501947557,,8.449863206,,5.839531395,0.025365516,7.173086579,0.037834906,1.750673462,,2.050138179,,6.036675548,0.040524697,4.350127241,,1.659324157,0.040843656,3.839882795,0.021811686,6.085244919,0.069132033,,,,
67,11/03/2012,1.333365334,,10.49577545,0.036907095,,,3.286884182,,,,12.20535796,,4.122022161,0.012682758,8.71017656,,2.188341828,0.008079785,1.230082908,,6.036675548,,4.350127241,,3.318648315,,3.396819396,,5.851197038,,5.770160098,,,
68,12/03/2012,0.8000192,,13.49456844,0.036907095,,,4.437293645,0.024271635,,,8.262088468,,5.152527701,0.012682758,12.04053819,,2.680718739,,2.050138179,,11.25016807,,4.350127241,,4.148310393,,5.612136393,0.065435059,7.255484327,,6.251006773,,,
69,13/03/2012,0.533346134,,13.49456844,0.036907095,,,3.779916809,0.097086539,0.501947557,,8.449863206,0.055464076,4.980776778,0.025365516,8.453994897,,2.297758919,,0.820055272,,10.97577372,0.12157409,2.175063621,,5.254526498,0.081687311,6.055199792,0.021811686,5.383101275,,5.770160098,,,
70,14/03/2012,0.8000192,,4.99798831,0.036907095,,,5.094670482,0.048543269,,,6.759890565,,4.809025855,0.012682758,7.173086579,,2.626010193,0.016159569,1.230082908,,7.408647263,0.162098787,5.075148448,0.214153574,4.977972472,,4.430633994,0.065435059,5.149053393,,7.933970135,,,
71,15/03/2012,0.4000096,,9.746077204,0.110721285,0.479138318,,1.972130509,0.024271635,,,6.384341089,,4.293773084,0.012682758,7.173086579,,2.461884556,,1.640110543,,5.213492519,,3.625106034,,1.382770131,,3.249131596,0.087246745,6.787388564,,6.251006773,,,
