cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,Ciudad,Municipio
SUR,Santa Ursula,-99.149994,19.31448,2279,,4.84E+11,Ciudad de Mexico,Tlalpan
TAC,Tacuba,-99.202455,19.453907,2275,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
TAH,Tlahuac,-99.010564,19.246459,2297,,4.84E+11,Ciudad de Mexico,Xochimilco
TAX,Taxqueña,-99.123204,19.335689,2242,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Coyoacan
TEC,Cerro del Tepeyac,-99.114229,19.487227,2265,,4.84E+11,Ciudad de Mexico,Gustavo A Madero
TLA,Tlalnepantla,-99.204597,19.529077,2311,,4.84E+11,Estado de Mexico,Tlalnepantla de Baz
TLI,Tultitlán,-99.177173,19.602542,2313,,4.84E+11,Estado de Mexico,Tultitlan
TPN,Tlalpan,-99.184177,19.257041,2522,,4.84E+11,Ciudad de Mexico,Tlalpan
UAX,UAM Xochimilco,-99.103629,19.304441,2246,,4.84E+11,Ciudad de Mexico,Coyoacan
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221,,4.84E+11,Ciudad de Mexico,Iztapalapa
UNM,Unidad Movil,-99.147137,19.482238,,,4.84E+11,Ciudad de Mexico,Gustavo A Madero
VAL,Vallejo,-99.165702,19.522437,2248,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
VIF,Villa de las Flores,-99.09659,19.658223,2242,,4.84E+11,Estado de Mexico,Coacalco de Berriozabal
XAL,Xalostoc,-99.0824,19.525995,2160,,4.84E+11,Estado de Mexico,Ecatepec de Morelos
XCH,Xochimilco,-99.118252,19.267066,2243,Finalizó operación en 1999,4.84E+11,Ciudad de Mexico,Xochimilco
FAR,FES Aragón,-99.046176,19.473692,2230,,4.85E+11,Estado de Mexico,Nezahualcoyotl
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293,,4.85E+11,Ciudad de Mexico,Iztapalapa
